category,content
Shipping,"Standard shipping takes 3 to 5 business days and costs $4.99. Shipping is free on all orders over $50."
Shipping,"Express shipping delivers within 1 to 2 business days for a flat fee of $14.99."
Returns,"Items can be returned within 30 days of delivery for a full refund. Return shipping is free using the prepaid label in your account."
Returns,"Opened electronics are subject to a 15% restocking fee unless the item is defective or damaged on arrival."
Membership,"NovaMart Plus membership costs $49 per year and includes free express shipping, 5% cashback on every order, and early access to sales."
Payments,"We accept Visa, Mastercard, American Express, PayPal, and Apple Pay for all purchases."
Payments,"Buy-now-pay-later financing is available through Klarna on orders above $100, split into four interest-free payments."
Support,"Customer support is available 24 hours a day, 7 days a week via live chat on our website and by email at support@novamart.com."
Order Tracking,"You can track your order at any time from the My Orders page using the tracking number that is emailed to you after dispatch."
Warranty,"All electronics come with a 1-year manufacturer warranty. An extended 2-year protection plan is available for $19 at checkout."
Products,"The AuroraBook laptop features a 14-inch display, 16GB of RAM, and a 512GB SSD, and is priced at $899."
Products,"The PulseBuds wireless earbuds deliver up to 8 hours of battery life on a single charge and cost $59."
Products,"The NovaHome smart thermostat can save up to 20% on home energy bills and is priced at $129."
Discounts,"New customers receive 10% off their first order by applying the promo code WELCOME10 at checkout."
Discounts,"Seasonal sales run every quarter with discounts of up to 40% on selected items across the store."
Account,"You can create an account using just an email address. Guest checkout is also available for one-time purchases."
Privacy,"We never sell customer data to third parties, and all payment information is encrypted in transit using TLS 1.3."
Inventory,"Out-of-stock items can be pre-ordered, and they ship automatically as soon as they are back in stock."
Gift Cards,"Digital gift cards are available in denominations from $25 to $500, are delivered by email, and never expire."
International,"We ship to more than 40 countries. International orders may be subject to customs duties, which are paid by the customer."
